Date,temperature - A,temperature - B
08/11/2011 0:00,25.09,24.51
09/11/2011 0:00,24.77,24.18
10/11/2011 0:00,24.43,23.97
11/11/2011 0:00,24.57,24.24
12/11/2011 0:00,24.75,24.3
13/11/2011 0:00,24.74,24.35
14/11/2011 0:00,24.7,24.17
15/11/2011 0:00,23.39,22.48
16/11/2011 0:00,22.97,22.25
17/11/2011 0:00,22.76,21.96
18/11/2011 0:00,22.29,21.5
19/11/2011 0:00,22.12,21.48
20/11/2011 0:00,22.12,21.65
21/11/2011 0:00,22.75,22.42
22/11/2011 0:00,23.06,22.74
23/11/2011 0:00,23.02,22.44
24/11/2011 0:00,23.33,22.72
25/11/2011 0:00,23.43,22.89
26/11/2011 0:00,22.84,22.41
27/11/2011 0:00,22.34,21.9
28/11/2011 0:00,22.17,21.91
29/11/2011 0:00,22.11,21.91
30/11/2011 0:00,22.09,21.98
01/12/2011 0:00,21.94,21.63
02/12/2011 0:00,21.92,21.51
03/12/2011 0:00,21.94,21.6
04/12/2011 0:00,21.72,21.49
05/12/2011 0:00,21.57,21.64
06/12/2011 0:00,21.55,21.37
07/12/2011 0:00,21.73,21.21
08/12/2011 0:00,,
09/12/2011 0:00,,
10/12/2011 0:00,,
11/12/2011 0:00,21.49,21.3
12/12/2011 0:00,21.18,21.05
13/12/2011 0:00,21.33,21.36
14/12/2011 0:00,21.56,21.57
15/12/2011 0:00,21.95,21.81
16/12/2011 0:00,22.08,21.76
17/12/2011 0:00,22.33,22.08
18/12/2011 0:00,22.38,22.09
19/12/2011 0:00,22.39,22.06
20/12/2011 0:00,22.6,22.26
21/12/2011 0:00,23.04,22.79
22/12/2011 0:00,22.78,22.61
23/12/2011 0:00,22.59,22.22
24/12/2011 0:00,22.05,21.8
25/12/2011 0:00,21.6,21.13
26/12/2011 0:00,21.2,20.65
27/12/2011 0:00,21.31,20.83
28/12/2011 0:00,21.16,20.7
29/12/2011 0:00,21.07,20.66
30/12/2011 0:00,21.14,20.83
31/12/2011 0:00,21.24,21.04
01/01/2012 0:00,20.93,20.65
02/01/2012 0:00,20.26,19.67
03/01/2012 0:00,19.98,19.38
04/01/2012 0:00,20.76,20.31
05/01/2012 0:00,20.9,20.52
06/01/2012 0:00,20.88,20.44
07/01/2012 0:00,20.72,20.35
