Date,SV reactor 1,SV reactor 2,SV reactor 3,SV reactor 4,mlss reactor 1,volume reactor 1,mlss reactor 2,volume reactor 2,mlss reactor 3,volume reactor 3,mlss reactor 4,volume reactor 4
22/05/2018 00:00,2.77,3.03,3.86,3.63,1992,380,1908,340,1644,200,1752,200
23/05/2018 00:00,2.69,3.29,3.91,4.11,1976,250,1772,260,1636,250,1688,200
24/05/2018 00:00,3.01,3.07,3.9,3.93,1968,320,1884,280,1692,210,1672,200
25/05/2018 00:00,2.97,3,3.64,3.8,2076,320,1980,340,1748,210,1868,210
26/05/2018 00:00,2.64,2.79,3.67,3.8,2368,320,2288,320,1992,230,1964,240
27/05/2018 00:00,2.83,2.99,3.66,3.36,2108,360,1924,320,1720,240,1780,250
28/05/2018 00:00,2.34,2.71,3.49,3.71,2100,380,1852,320,1676,260,1708,250
29/05/2018 00:00,2.83,2.81,3.41,3.29,1884,360,1820,300,1696,250,1780,260
30/05/2018 00:00,2.57,3.01,3.34,3.16,2232,390,2272,320,2084,290,1892,330
31/05/2018 00:00,2.83,3.2,3.31,3.2,2000,360,1844,310,1776,300,1904,320
01/06/2018 00:00,2.76,2.91,3.24,3.17,2116,430,2052,410,1792,300,1868,300
02/06/2018 00:00,1.63,2.69,3.24,2.91,2400,530,2032,360,1884,320,2020,370
03/06/2018 00:00,3.03,2.76,3.46,3,1984,330,2064,370,1684,300,2004,320
04/06/2018 00:00,2.89,3.04,3.36,3.43,2176,360,1976,330,1884,260,,270
05/06/2018 00:00,2.71,3.23,3.34,3.37,2164,390,1880,300,1820,260,1860,240
06/06/2018 00:00,2.87,3.04,3.34,3.41,1876,300,2068,300,1832,250,1816,240
07/06/2018 00:00,3.06,3.23,3.49,3.34,1976,360,1924,320,1760,280,1820,300
08/06/2018 00:00,2.84,2.84,3.56,3.46,,390,,360,,260,,250
09/06/2018 00:00,2.6,3.03,3.54,3.21,2020,410,1916,310,1728,240,1856,270
10/06/2018 00:00,2.8,3.16,3.51,3.49,1928,390,1720,320,1784,240,1744,260
11/06/2018 00:00,3.11,3.17,3.8,3.8,1964,320,1840,300,1780,230,1776,220
12/06/2018 00:00,3,3,3.61,3.2,1986,360,1864,320,1716,210,1960,250
13/06/2018 00:00,3.11,3.4,3.71,3.46,1908,300,1684,240,1772,200,1844,230
14/06/2018 00:00,2.97,3.23,3.61,3.46,1956,260,1824,250,1876,230,1896,230
15/06/2018 00:00,3.34,3.31,3.16,3.31,2028,290,1804,280,1852,290,1852,280
16/06/2018 00:00,2.83,3.57,3.09,2.97,2156,400,1788,280,1944,300,2120,330
17/06/2018 00:00,3.17,3.34,3.33,3.04,1932,340,1752,300,1832,320,2028,360
18/06/2018 00:00,3.34,3.31,3.16,3.31,1716,290,1680,280,1960,290,1896,280
