Date,F_M - A,F_M - B,Sludge Age - A,Sludge Age - B
22/07/2010 7:00,0.24,0.24,3.32,2.53
23/07/2010 7:00,0.30,0.26,2.80,2.94
24/07/2010 7:00,0.16,0.18,3.98,3.43
25/07/2010 7:00,0.27,0.25,2.60,2.62
26/07/2010 7:00,0.26,0.23,3.12,2.48
27/07/2010 7:00,0.25,0.21,2.56,2.48
28/07/2010 7:00,0.25,0.23,3.43,2.41
29/07/2010 7:00,0.27,0.24,2.98,2.27
30/07/2010 7:00,0.24,0.23,2.89,2.83
31/07/2010 7:00,0.17,0.16,3.04,3.25
01/08/2010 7:00,0.25,0.24,3.28,2.52
02/08/2010 7:00,0.27,0.24,2.82,3.12
03/08/2010 7:00,0.24,0.22,2.43,2.45
04/08/2010 7:00,0.31,0.32,3.23,2.31
05/08/2010 7:00,,,2.21,2.07
06/08/2010 7:00,0.29,0.28,2.66,2.34
07/08/2010 7:00,0.18,0.20,2.97,2.14
08/08/2010 7:00,0.27,0.24,3.52,2.80
09/08/2010 7:00,0.29,0.25,4.53,3.03
10/08/2010 7:00,0.23,0.23,3.26,2.67
11/08/2010 7:00,0.24,0.24,3.39,2.61
12/08/2010 7:00,,,3.57,2.61
13/08/2010 7:00,0.24,0.25,3.36,2.80
14/08/2010 7:00,0.17,0.19,3.42,2.79
15/08/2010 7:00,0.24,0.23,4.29,3.04
16/08/2010 7:00,0.25,0.25,3.76,2.90
17/08/2010 7:00,0.28,0.27,2.60,2.08
18/08/2010 7:00,,,2.99,2.23
19/08/2010 7:00,,,2.89,2.30
20/08/2010 7:00,0.26,0.24,2.92,2.48
21/08/2010 7:00,0.17,0.16,3.81,3.22
22/08/2010 7:00,,,3.03,2.58
23/08/2010 7:00,0.23,0.24,3.49,2.39
24/08/2010 7:00,0.23,0.22,3.40,2.67
25/08/2010 7:00,0.26,0.23,3.24,2.53
26/08/2010 7:00,,,3.46,2.69
27/08/2010 7:00,0.26,0.23,2.93,2.87
28/08/2010 7:00,0.18,0.16,3.24,2.62
29/08/2010 7:00,0.28,0.25,2.95,2.72
30/08/2010 7:00,0.25,0.22,3.14,2.76
31/08/2010 7:00,0.29,0.24,2.86,2.61
01/09/2010 7:00,0.31,0.25,2.74,2.59
02/09/2010 7:00,,,2.84,2.55
03/09/2010 7:00,0.30,0.26,2.81,2.54
04/09/2010 7:00,0.20,0.18,2.75,2.75
05/09/2010 7:00,0.32,0.28,2.87,2.67
06/09/2010 7:00,0.29,0.28,2.61,2.22
07/09/2010 7:00,,,,
08/09/2010 7:00,,,2.50,2.36
09/09/2010 7:00,,,3.10,3.25
10/09/2010 7:00,,,3.40,3.03
11/09/2010 7:00,0.20,0.19,3.83,3.44
12/09/2010 7:00,0.30,0.26,3.19,2.51
13/09/2010 7:00,0.28,0.25,3.46,2.88
14/09/2010 7:00,0.28,0.26,3.74,2.71
15/09/2010 7:00,0.26,0.26,3.54,2.43
16/09/2010 7:00,,,4.30,2.82
17/09/2010 7:00,0.21,0.22,2.75,2.55
18/09/2010 7:00,0.13,0.14,5.00,3.43
19/09/2010 7:00,0.24,0.22,3.82,2.37
20/09/2010 7:00,0.25,0.22,3.54,
21/09/2010 7:00,,,3.33,2.58
22/09/2010 7:00,,,2.91,5.34
23/09/2010 7:00,,,3.57,3.39
24/09/2010 7:00,,,3.84,3.42
25/09/2010 7:00,0.19,0.17,3.34,3.09
26/09/2010 7:00,0.29,0.25,3.06,2.58
27/09/2010 7:00,0.27,0.23,3.16,2.35
28/09/2010 7:00,,,3.32,2.33
29/09/2010 7:00,,,3.40,2.62
30/09/2010 7:00,,,3.24,3.12
01/10/2010 7:00,0.27,0.27,3.14,2.91
02/10/2010 7:00,,,3.24,3.02
03/10/2010 7:00,0.27,0.28,2.80,2.35
04/10/2010 7:00,0.29,0.28,2.94,2.61
05/10/2010 7:00,0.30,0.28,1.84,3.42
06/10/2010 7:00,0.24,0.24,3.43,2.36
07/10/2010 7:00,,,3.83,2.81
08/10/2010 7:00,0.26,0.27,3.18,2.33
09/10/2010 7:00,0.17,0.17,3.56,3.02
10/10/2010 7:00,0.27,0.24,3.65,2.28
11/10/2010 7:00,0.25,0.21,3.66,2.32
12/10/2010 7:00,0.25,0.22,3.74,2.99
13/10/2010 7:00,0.23,0.21,3.73,2.62
14/10/2010 7:00,,,3.73,2.04
15/10/2010 7:00,0.23,0.25,2.54,1.57
16/10/2010 7:00,0.19,0.17,3.21,2.34
17/10/2010 7:00,0.27,0.26,3.08,2.76
18/10/2010 7:00,0.24,0.23,3.19,2.39
19/10/2010 7:00,0.26,0.24,3.07,2.70
20/10/2010 7:00,0.25,0.23,3.46,2.74
21/10/2010 7:00,,,3.59,2.84
22/10/2010 7:00,0.27,0.27,3.25,2.51
23/10/2010 7:00,0.17,0.17,3.54,2.83
24/10/2010 7:00,0.23,0.22,2.88,2.50
25/10/2010 7:00,0.17,0.15,3.41,2.25
26/10/2010 7:00,0.23,0.20,3.33,2.60
27/10/2010 7:00,0.25,0.24,2.83,2.26
28/10/2010 7:00,,,3.32,2.78
29/10/2010 7:00,0.24,0.24,3.09,2.69
30/10/2010 7:00,0.20,0.20,3.39,3.08
31/10/2010 7:00,0.25,0.23,2.74,2.34
01/11/2010 7:00,0.25,0.25,3.43,2.49
02/11/2010 7:00,,,3.47,2.68
03/11/2010 7:00,0.25,0.23,2.54,2.68
04/11/2010 7:00,,,2.23,1.88
05/11/2010 7:00,0.23,0.21,2.44,2.56
06/11/2010 7:00,0.17,0.16,2.68,2.77
07/11/2010 7:00,0.24,0.23,2.83,2.69
08/11/2010 7:00,0.27,0.27,3.46,2.83
09/11/2010 7:00,0.22,0.22,2.93,2.69
10/11/2010 7:00,0.23,0.23,3.10,2.19
11/11/2010 7:00,,,2.83,2.44
12/11/2010 7:00,,,2.97,2.71
13/11/2010 7:00,0.23,0.18,3.13,2.76
14/11/2010 7:00,0.30,0.25,2.96,2.43
